filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,0,"{""name"":""polygon"",""all_points_x"":[382,409,448,484,465,370],""all_points_y"":[1075,1053,1056,1078,1107,1107]}","{""Species"":""Poa sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,1,"{""name"":""polygon"",""all_points_x"":[282,341,350,365,406,455,511,530,489,596,727,620,528,377],""all_points_y"":[961,990,1031,1031,1000,995,1007,1036,1102,1107,1031,973,946,951]}","{""Species"":""Podistera nevadensis""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,2,"{""name"":""polygon"",""all_points_x"":[1031,1046,1102,1163,1133,1082,1019],""all_points_y"":[1029,1024,1058,1002,995,1019,1002]}","{""Species"":""Eriogonum rosense""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,3,"{""name"":""polygon"",""all_points_x"":[1474,1498,1528,1569,1559,1600,1652,1683,1678,1656,1647,1593,1545],""all_points_y"":[591,637,701,679,652,635,657,657,620,579,564,562,601]}","{""Species"":""Phlox condensa""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,4,"{""name"":""polygon"",""all_points_x"":[499,598,744,803,808,703,584,496],""all_points_y"":[309,304,287,263,224,197,212,263]}","{""Species"":""Carex sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,5,"{""name"":""polygon"",""all_points_x"":[1425,1442,1498,1537,1591,1639,1566,1481],""all_points_y"":[406,431,445,469,474,440,389,389]}","{""Species"":""Ivesia gordonii""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,6,"{""name"":""polygon"",""all_points_x"":[1956,1953,2029,2041,2065,2094,2089,2021,1985],""all_points_y"":[504,545,569,547,552,538,516,496,496]}","{""Species"":""Ivesia gordonii""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,7,"{""name"":""polygon"",""all_points_x"":[1654,1593,1605,1647,1683,1698,1759,1700],""all_points_y"":[443,482,511,518,538,523,496,452]}","{""Species"":""Eriogonum rosense""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,8,"{""name"":""polygon"",""all_points_x"":[1873,1909,1941,1946,1912,1875],""all_points_y"":[533,538,528,491,474,486]}","{""Species"":""Poa sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,9,"{""name"":""polygon"",""all_points_x"":[844,866,883,912,919,939,932,885,849],""all_points_y"":[990,992,1005,1026,1051,1043,1005,968,968]}","{""Species"":""Poa sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,10,"{""name"":""polygon"",""all_points_x"":[849,900,934,1007,1048,1097,1202,1206,1112,1017,992,949,912,859],""all_points_y"":[109,117,129,139,139,107,92,73,54,51,66,66,51,80]}","{""Species"":""Carex sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,11,"{""name"":""polygon"",""all_points_x"":[1369,1403,1442,1469,1484,1525,1479,1438,1389],""all_points_y"":[209,226,241,251,251,226,199,190,190]}","{""Species"":""Phlox condensa""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,12,"{""name"":""polygon"",""all_points_x"":[1442,1459,1498,1535,1559,1622,1545,1476,1440],""all_points_y"":[885,885,902,861,849,849,812,834,861]}","{""Species"":""Carex sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,13,"{""name"":""polygon"",""all_points_x"":[883,934,1031,1031,922],""all_points_y"":[248,253,224,199,197]}","{""Species"":""Carex sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,14,"{""name"":""polygon"",""all_points_x"":[23,71,149,269,336,373,378,418,478,501,418,357,339,383,462,521,521,501,441,281,221,182,101,8,6],""all_points_y"":[191,206,169,222,258,253,240,240,251,188,157,152,126,96,78,91,63,26,3,3,45,54,44,32,172]}","{""Species"":""Carex sp""}"
GB-03_2019_07_04_120001.JPG,1316756,"{}",16,15,"{""name"":""polygon"",""all_points_x"":[1287,1306,1321,1231,1221,1250],""all_points_y"":[394,401,479,499,482,414]}","{""Species"":""Carex sp""}"
